Style,StyleID,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,BoilGravity,Efficiency,MashThickness
American Pale Ale,10,"41,64","1,055","1,015","5,18","38,3","7,52","49,21",60,"1,046",68,"1,5"
American Pale Ale,10,"20,82","1,062","1,015","6,08","35,58","6,74","28,39",60,"1,045",70,
American IPA,7,25,"1,072","1,018","7,05","67,02","8,14",28,60,"1,064",75,
American Pale Ale,10,"20,82","1,054","1,011","5,67","66,89","5,94","26,5",60,"1,042",71,
American Pale Ale,10,"24,61","1,051","1,012","5,09","48,92",40,"30,28",90,"1,041",75,
American Pale Ale,10,"24,61","1,049","1,013","4,71","26,32","5,54","29,34",90,,70,
American IPA,7,"41,64","1,052","1,014","4,87","305,29","9,53","45,42",60,,70,
American Amber Ale,4,"18,93","1,051","1,01","5,43","20,68","13,97","28,39",60,"1,034",70,"1,5"
American IPA,7,25,"1,076","1,006","9,14","82,53","4,81",30,60,"1,063",75,"2,5"
American IPA,7,"22,71","1,067","1,019","6,32","62,93","10,01","28,39",60,,75,
American IPA,7,"20,82","1,066","1,015","6,62","63,94","6,56","28,39",60,,70,
American Pale Ale,10,50,"1,059","1,014","5,93","28,48","11,36",56,90,"1,053",80,
American Pale Ale,10,"18,93","1,044","1,01","4,46","46,66","3,17","24,61",60,"1,034",0,
American IPA,7,"21,77","1,058","1,011","6,27","68,73","6,37","32,18",60,"1,039",71,"1,4"
American IPA,7,"18,93","1,062","1,015","6,12","74,49","5,7","28,39",90,"1,041",70,"1,3"
American Pale Ale,10,21,"1,07","1,014","7,34","36,83","7,24","28,5",60,"1,051",86,3
American Pale Ale,10,"18,93","1,059","1,017","5,59","52,84","8,11","26,5",60,,70,
American IPA,7,"18,93","1,086","1,024","8,08","194,28","35,27","11,36",60,,75,
American IPA,7,"39,75","1,065","1,018","6,13","76,54","5,32","41,64",60,"1,062",70,1
American Light Lager,9,22,"1,07","1,013","7,5","104,71","49,31",25,60,"1,061",66,"3,1"
American Amber Ale,4,10,"1,058","1,016","5,46","31,78","16,92","19,5",60,,65,
American Pale Ale,10,"37,85","1,058","1,012","6,04","41,11","13,29","45,42",90,"1,048",70,
American Pale Ale,10,21,"1,06","1,013","6,11","37,93","7,48",25,90,"1,05",65,"2,7"
American IPA,7,"20,82","1,07","1,017","7,07","86,37","7,08","28,39",90,"1,052",70,"1,2"
American IPA,7,"24,61","1,056","1,012","5,82","43,78","4,74","32,18",60,"1,043",74,
American IPA,7,"20,82","1,076","1,018","7,65","82,33","10,55","26,5",60,,70,
American Pale Ale,10,19,"1,047","1,009","5,07","46,71","7,65","23,3",60,"1,038",75,3
American Pale Ale,10,"30,28","1,055","1,014","5,39","23,47","6,68","35,96",60,"1,046",70,
American Pale Ale,10,"11,36","1,073","1,017","7,33","32,37","11,41","17,03",60,"1,049",70,
American IPA,7,"20,82","1,063","1,019","5,81","69,88","13,24","28,39",60,"1,046",75,
American IPA,7,"18,93","1,065","1,018","6,18","77,69","4,87","9,46",60,,75,
American IPA,7,44,"1,064","1,018","6,36","58,88","12,47",55,90,"1,052",65,4
American Pale Ale,10,26,"1,045","1,013","4,22","54,04","12,94",13,60,"1,049",70,
American Pale Ale,10,"20,82","1,057","1,014","5,64","33,17","6,85","26,5",60,"1,045",70,"1,5"
Saison,134,"12,5","1,055","1,014","5,44",0,"7,93",3,1,"1,23",35,
American IPA,7,"21,77","1,058","1,016","5,49","71,73","4,8","22,71",60,"1,056",70,"1,5"
American Light Lager,9,"9,46","1,046","1,007","5,12","26,2","3,18","14,2",60,"1,03",60,"1,5"
American Pale Ale,10,"20,82","1,055","1,014","5,41","70,46","7,63","28,39",60,"1,04",70,"1,25"
American Light Lager,9,"26,5","1,09","1,024","8,59","229,74","5,33","26,5",60,"1,09",72,"1,5"
American Amber Ale,4,"20,82","1,098","1,023","9,89","77,13","22,3","11,36",60,"1,181",35,
American IPA,7,25,"1,065","1,009","7,3","44,4","6,83",31,60,"1,052",73,"2,5"
American IPA,7,"14,76","1,066","1,02","6,05","55,23","26,2","17,79",60,"1,055",77,
American IPA,7,"39,75","1,073","1,021","6,93","312,2","4,35","43,53",60,,70,
American IPA,7,"11,36","1,066","1,012","7,15","72,59","12,31","15,9",60,"1,047",70,
American IPA,7,"18,55","1,074","1,015","7,69","56,07","5,16","23,09",60,"1,059",70,
American Pale Ale,10,"18,93","1,058","1,014","5,82","44,93","8,57","26,5",70,,70,
American IPA,7,"20,82","1,064","1,018","6,03","41,87","11,66","28,01",60,"1,047",60,"1,25"
American IPA,7,"20,82","1,065","1,015","6,56","58,57","10,64","32,18",90,"1,042",75,"1,5"
American IPA,7,"41,64","1,051","1,013","5,04","113,68","4,5","45,42",60,,70,
American IPA,7,"60,57","1,063","1,01",7,"90,68","6,08","68,14",60,"1,056",72,"1,3"
American IPA,7,"9,46","1,075","1,011","8,38","59,59","6,44","15,14",75,"1,047",70,"1,5"
American Amber Ale,4,"20,82","1,068","1,015","7,05","80,23","19,78","24,61",60,"1,058",70,
American IPA,7,"18,93","1,066","1,017","6,37","106,65","9,64","9,46",60,"1,131",35,
American Amber Ale,4,"15,14","1,054","1,011","5,68","40,23","19,54","18,93",60,"1,043",59,"1,5"
American IPA,7,"20,82","1,065","1,015","6,51","110,65","5,33","28,39",90,"1,048",65,"1,25"
Saison,134,25,"1,048","1,011","4,89","33,94","8,57",28,60,,83,
American IPA,7,"43,53","1,059","1,016","5,55","97,34","4,55","39,75",60,,70,
American IPA,7,"20,82","1,057","1,016","5,43","120,84","7,37","24,61",60,,61,
American IPA,7,20,"13,0619","1,89807","5,97","79,44","8,5",11,90,"22,9",35,
American IPA,7,"18,93","1,057","1,014","5,5",0,8,"22,71",60,,75,
American Pale Ale,10,"20,82","1,057","1,013","5,76","59,23","3,81","28,39",60,"1,042",75,
American IPA,7,"20,82","1,067","1,019","6,32","72,19","36,51","24,61",60,,70,
American Pale Ale,10,5,"1,065","1,011","7,09","2197,07","6,6","12,5",60,"1,026",70,
American IPA,7,"20,82","1,06","1,015","5,87","48,85","3,91","20,82",60,"1,06",35,
American Pale Ale,10,21,"1,07","1,017",7,"55,34","5,97","28,5",90,"1,052",80,3
American IPA,7,25,"1,069","1,022","6,08","50,79","5,09",30,75,"1,057",85,"2,4"
American IPA,7,"18,93","1,069","1,017","6,8","48,81","7,53","11,36",60,"1,045",35,
American IPA,7,"16,09","1,073","1,022","6,72","88,38","14,33","11,36",60,"1,104",68,
American IPA,7,"39,75","1,052","1,015","4,95",194,"5,2","43,53",60,,70,
American Pale Ale,10,"18,93","1,06","1,015","5,89","52,13","7,97","26,5",60,"1,043",60,
American IPA,7,"794,94","1,054","1,009","5,86","63,53","35,2","840,36",60,"1,051",88,"1,25"
American IPA,7,"18,93","1,065","1,018","6,14","56,74","8,34","22,71",60,,75,
American IPA,7,20,"1,06","1,008","6,83","28,82","10,69",6,60,"1,201",35,
American Pale Ale,10,"41,64","1,05","1,011","5,08","27,12","7,9","51,1",60,"1,04",70,"1,25"
Saison,134,"20,82","1,062","1,013","6,4","39,26","7,89","28,39",90,,75,
American IPA,7,"19,68","1,065","1,012",7,"74,37","7,63","27,25",60,,75,
American IPA,7,"41,64","1,062","1,017","5,88","133,37","10,85","43,53",60,"1,06",70,"0,9"
American IPA,7,"3,79","1,059","1,014","5,94","69,5","7,04","6,15",60,"1,037",75,"1,5"
American Pale Ale,10,9,"1,052","1,015","4,94","34,96","7,45","14,5",90,,70,
American IPA,7,23,"1,071","1,014","7,58","84,65","6,23",32,60,"1,051",70,"2,5"
American IPA,7,"21,77","1,08","1,016","8,42","87,29","9,15","26,5",60,,70,
American Amber Ale,4,"20,82","1,049","1,014","4,59","41,7","8,57","28,39",60,"1,036",70,"1,24"
American Pale Ale,10,50,"1,052","1,011","5,33","37,23","6,46",55,70,"1,047",70,
American Pale Ale,10,"20,82","1,05","1,011",5,"24,85","9,05","27,25",60,"1,038",75,"1,33"
American IPA,7,21,"1,06","1,017","5,64","40,37","4,66",25,70,"1,05",75,"2,5"
American IPA,7,"41,64","1,064","1,012","6,77","55,33","7,51","49,21",60,"1,054",75,"1,5"
American Amber Ale,4,"18,93","1,066","1,013","7,04","37,82","13,16","22,71",60,"1,055",35,
American Amber Ale,4,"18,93","1,052","1,013","5,1","32,73","13,94","22,71",60,"1,043",85,
American IPA,7,"37,85","1,069","1,018","6,67","55,35","13,71","47,32",60,"1,055",70,"1,2"
American IPA,7,21,"1,058","1,018","5,19",0,"6,48",7,0,"1,174",35,
American Amber Ale,4,"20,82","1,064","1,015","6,52","86,12","9,24","28,39",90,,75,
American IPA,7,"20,82","1,063","1,013","6,57","64,04","9,45","26,5",75,"1,049",70,"1,5"
American IPA,7,"45,42","1,068","1,016","6,9","34,1","4,8",53,60,"1,056",80,"1,25"
American Pale Ale,10,"16,09","1,039","1,011","3,7","34,07","8,52","21,29",60,,70,
American IPA,7,"20,82","1,063","1,018","5,98","82,09","7,76","26,5",60,,70,
American IPA,7,"3,79","1,071","1,018","7,01","60,04","6,93","8,52",60,"1,032",75,
American IPA,7,"24,61","1,064","1,02","5,79","78,84","9,02","30,28",90,"1,052",75,
American IPA,7,"18,93","1,065","1,012","6,89","84,58","6,11","11,36",60,"1,108",35,
American IPA,7,40,"1,065","1,015","6,59","68,94","6,3",45,80,"1,058",78,"5,7"
Saison,134,"37,85","1,055","1,011","5,75","23,84","5,71","45,42",75,"1,046",75,"1,25"
American IPA,7,"39,75","1,087","1,023","8,43","545,14","8,56",53,70,"1,065",81,
American Pale Ale,10,"20,82","1,063","1,014","6,48","40,34","7,35","27,03",75,"1,049",77,"1,33"
American IPA,7,23,"1,06","1,015","5,89","66,58","5,54","27,5",60,"1,05",76,"2,5"
American IPA,7,"24,61","1,061","1,013","6,27","92,36","5,69","30,28",90,"1,045",70,
American IPA,7,"22,71","1,064","1,011","6,88","46,56","10,89","27,44",90,,73,
American IPA,7,"24,61","1,073","1,019","6,99","124,61","4,7","30,28",90,"1,058",70,
American Pale Ale,10,"19,87","1,056","1,015","5,44","49,85","8,86","11,36",60,,70,
American IPA,7,"20,82","1,045","1,011","4,47","66,22","3,22","28,39",60,"1,033",70,
American IPA,7,"18,93","1,068","1,012","7,31","121,6","6,64","22,71",60,"1,057",70,
American IPA,7,"4,5","1,063","1,017","5,95","66,42","6,28",7,60,"1,04",70,
American Pale Ale,10,24,"1,06","1,015","5,88","52,74","7,26","28,5",60,"1,05",70,
American IPA,7,"24,61","1,065","1,014","6,65","114,24","4,19","30,28",90,"1,053",70,
American Amber Ale,4,"22,71","1,057","1,013","5,75","53,86","12,05","30,28",60,"1,043",70,
American IPA,7,50,"1,067","1,017","6,66","65,24","6,44",55,60,"1,061",72,3
American Pale Ale,10,"18,93","1,056","1,014","5,48","45,22","8,15","24,61",90,,70,
American IPA,7,"46,2","1,053","1,015","5,04","71,91","5,02",53,60,"1,047",75,
American Amber Ale,4,"22,71","1,062","1,013","6,48","83,15","16,32","28,39",60,"1,05",64,
Saison,134,"18,93","1,052","1,01","5,5","26,57","9,03","22,71",60,"1,031",90,"1,5"
American IPA,7,"18,93","1,052","1,013","5,1","43,95","3,59","18,93",60,,70,
American Amber Ale,4,"37,85","1,061","1,015","5,97","32,32","5,57",53,60,"1,043",75,"1,5"
American Amber Ale,4,"20,82","1,07","1,02","6,62","20,84","16,82","28,39",60,"1,051",75,
American IPA,7,25,"1,056","1,016","5,32","31,11","9,82",10,60,,50,
American IPA,7,"20,82","1,066","1,017","6,44","68,54","11,17","24,61",60,"1,056",75,
American Amber Ale,4,"21,77","1,055","1,013","5,67","35,62","12,67","25,55",60,"1,047",70,
American IPA,7,"20,82","1,088","1,025","8,27","121,94","9,64","28,39",90,"1,064",75,"1,5"
American IPA,7,"41,64","1,064","1,013","6,67","63,12","6,7","49,21",60,"1,054",70,"1,4"
American IPA,7,50,"1,06","1,015","5,9","66,53","6,45",55,60,"1,054",70,3
American Pale Ale,10,21,"1,054","1,016","4,99","35,81","3,67","28,5",60,,70,
American IPA,7,40,"1,062","1,016","5,99","60,49","5,85",40,60,"1,062",65,"3,1"
American IPA,7,"18,55","1,068","1,016","6,85","73,19","5,23","22,33",60,"1,057",71,
American IPA,7,"22,71","1,07","1,012","7,52","53,51","5,79","28,39",60,"1,056",65,"1,25"
American IPA,7,"24,61","1,069","1,017","6,79","44,89",50,"30,28",90,"1,056",80,
American IPA,7,21,"1,059","1,016","5,6","115,43","4,58",28,60,,75,
American Amber Ale,4,"22,71","1,055","1,011","5,83","38,97","14,42","28,39",90,"1,044",75,"1,5"
Saison,134,"22,71","1,062","1,012","6,51","38,47","3,64","28,39",60,"1,05",73,"1,5"
American IPA,7,"18,93","1,052","1,015","4,9","47,27","11,69","7,57",60,,70,
American IPA,7,"9,46","1,069","1,017","6,78","54,97","10,49","14,01",60,"1,047",70,"1,5"
American IPA,7,2100,"12,0564","2,36624","5,17","35,83","5,64",2100,60,"12,1",81,"3,1"
American Amber Ale,4,"22,71","1,056","1,014","5,5","11,03","19,6","26,5",60,,66,
American Pale Ale,10,"20,82","1,06","1,016","5,86","39,64","9,49","26,5",60,,70,
American Pale Ale,10,"22,71","1,058","1,007","6,67","2,29","32,49","28,39",60,"1,047",80,"1,5"
American Pale Ale,10,"41,64","1,056","1,016","5,25","50,74","7,59","49,21",60,,73,
American IPA,7,"20,82","1,07","1,011","7,77","74,85","5,25","28,39",60,"1,052",71,
American IPA,7,"49,21","1,068","1,019","6,46","55,73","7,17","60,57",60,,84,
American Pale Ale,10,25,"12,8801","2,67611","5,46","41,84","7,71","30,3",80,"10,7",78,"6,153"
American Pale Ale,10,"18,93","1,069","1,017","6,77","71,02","11,11","18,93",60,,70,
Saison,134,"30,28","1,052","1,012","5,26","32,98","4,49","43,53",60,"1,036",60,
American Amber Ale,4,"26,5","1,085","1,026","7,7","32,35","18,6","26,5",60,"1,085",75,
American IPA,7,21,"1,07","1,019","6,72","80,4","14,4","28,5",60,,80,
Saison,134,"20,82","15,6465","4,23184","6,21","55,13","8,2","28,01",90,"11,8",70,"1,3"
American Amber Ale,4,21,"1,057","1,016","5,42","53,63","18,95",13,60,"1,093",50,
American Amber Ale,4,25,"1,061","1,014","6,16","42,89","16,15","28,5",60,"1,054",75,
American IPA,7,"18,93","1,074","1,018","7,28","74,15","9,46","28,39",60,"1,049",70,"1,25"
American IPA,7,13,"1,055","1,013","5,59","65,46","4,97","8,5",35,"1,028",75,
American IPA,7,"18,93","1,073","1,018","7,21",0,"13,35","18,93",60,,75,
American IPA,7,23,"1,075","1,021","7,07","64,61","6,16",32,60,"1,054",70,3
American IPA,7,"18,93","1,068","1,017","6,66",0,"10,04","20,82",60,,70,
Saison,134,"20,82","1,042","1,003","5,13","18,58","2,59","11,36",60,"1,027",80,
American IPA,7,"22,71","1,069","1,017","6,84","94,62","4,78","26,5",60,,70,
American IPA,7,"37,85","1,062","1,017","5,89","212,69","5,28","41,64",60,,70,
Saison,134,"9,46","1,075","1,012","8,28","26,75","5,94","11,36",60,"1,057",67,"1,25"
American Amber Ale,4,"22,9","1,048","1,013","4,68","38,88","12,72","31,99",90,,83,
Saison,134,"20,82","1,069","1,014","7,27","22,59","4,36","28,39",60,,75,
Saison,134,"20,82","1,061","1,013","6,29","27,98","8,56","11,36",60,,35,
American IPA,7,"18,93","1,055","1,01","5,82","97,67","8,96","11,36",60,"1,091",35,
American IPA,7,"51,1","1,067","1,016","6,58","40,73","4,4","54,89",60,"1,062",70,"1,25"
American IPA,7,"23,09","1,066","1,011","7,24","73,32","3,85","30,28",60,"1,05",75,"1,33"
American IPA,7,"20,82","1,07","1,017","7,05","68,3","10,8","26,5",90,"1,055",70,"1,25"
American Amber Ale,4,"18,93","1,059","1,014","5,9","48,44","3,99","15,14",60,,75,
American IPA,7,"20,82","1,068","1,011","7,43","88,69","9,35","26,91",60,"1,053",70,
Saison,134,"22,71","1,055","1,01","5,92","29,06","6,12","28,39",60,"1,044",60,"1,4"
American IPA,7,"18,93","1,078","1,01","8,94","127,86","8,2","30,28",60,"1,049",71,"1,45"
American IPA,7,981,"1,056","1,009","6,14","50,65","5,91","984,5",60,"1,056",74,
American Pale Ale,10,"18,93","1,051","1,011","5,26","46,61","4,76","26,5",60,"1,037",70,"1,5"
American IPA,7,"19,87","1,068","1,016","6,87","88,89","7,37","13,25",60,"1,103",58,
American IPA,7,"19,87","1,088","1,012","9,91","97,25","8,58","25,55",75,"1,061",75,"1,5"
American Amber Ale,4,"20,82","1,052","1,013","5,15","47,87","17,81","11,36",60,"1,096",35,
American Amber Ale,4,"13,25","1,065","1,018","6,13","94,94","17,69","18,93",60,"1,045",75,"1,3"
American IPA,7,"18,93","1,068","1,017","6,65",0,"6,81","18,93",60,,75,
American IPA,7,22,"1,057","1,014","5,69","59,18","9,54",30,80,"1,042",65,
Saison,134,"20,82","1,068","1,016","6,78","35,68","8,77","26,5",60,,70,
American Pale Ale,10,45,"1,051","1,012","5,15","21,63","3,53","52,9",60,"1,043",70,
American IPA,7,"18,93","1,072","1,02","6,78","110,1","10,21","11,36",60,"1,12",35,
American Pale Ale,10,"18,93","1,065","1,015","6,6","137,53","7,28","28,39",60,"1,043",70,
American IPA,7,"41,64","1,06","1,017","5,68","147,31","8,38","43,53",60,"1,057",70,1
American IPA,7,19,"1,049","1,011","4,97","70,83","5,32","9,5",60,"1,097",35,
American IPA,7,"22,71","1,07","1,017","6,87","68,03","10,8","28,39",60,"1,056",70,
American IPA,7,"18,93","1,068","1,016","6,82","161,79","11,08","11,36",60,,70,
American Pale Ale,10,21,"1,058","1,014","5,8","47,13","13,75",30,60,,75,
American IPA,7,20,"1,057","1,013",6,"45,71","4,38","28,5",60,"1,04",70,3
American IPA,7,"20,82","1,063","1,015","6,3","86,57","6,45","11,36",60,"1,115",35,
American IPA,7,"3,79","1,052","1,01","5,51","24,52","3,59","8,52",60,"1,023",70,
American Amber Ale,4,"18,93","1,062","1,016","6,12",0,"12,43","23,13",60,,67,
American Pale Ale,10,21,"13,0654","3,7762",5,"36,37","7,16",26,75,"10,6",80,3
Saison,134,"11,36","1,065","1,013","6,87","35,64","6,7","18,93",60,"1,035",70,"1,25"
American IPA,7,"20,82","1,056","1,017","5,04","92,02","21,92","11,36",60,,70,
American Amber Ale,4,"41,64","1,057","1,011","6,06","114,43","15,15","51,1",60,"1,046",70,
American IPA,7,"22,71","1,069","1,016",7,"92,07","8,84","28,39",60,"1,055",75,
American IPA,7,"19,87","1,062","1,015","6,22","292,04","6,31","18,93",90,"1,065",60,
American IPA,7,21,"1,07","1,015","7,21","64,95","6,27",25,70,"1,059",75,
American IPA,7,"10,22","1,063","1,011","6,79","36,25","6,48","14,38",60,"1,045",70,"1,5"
American IPA,7,"30,3","1,066","1,015","6,8","66,6","33,72","46,7",60,"1,043",68,"2,63"
American IPA,7,"20,82","1,071","1,02","6,72","78,24","5,45","26,5",90,"1,056",70,
American IPA,7,"20,82","1,062","1,017","5,85","85,27","10,18","26,5",60,,70,
American Amber Ale,4,"19,87","1,049","1,011","5,01","32,1","15,41","11,36",60,"1,086",35,
American IPA,7,"13,25","1,059","1,013","6,08","453,73","5,67","15,14",60,"1,052",70,
American Pale Ale,10,"18,93","1,044","1,011","4,36","51,74","8,79","11,36",60,"1,074",30,
American Pale Ale,10,"20,82","1,055","1,014","5,39","138,04","10,83","15,14",60,,70,
American IPA,7,"20,82","1,066","1,019","6,19","82,01","6,5","26,5",60,"1,052",70,
American Amber Ale,4,"20,82","1,067","1,015","6,81",0,"19,45","24,61",90,,75,
Saison,134,23,"1,062","1,019","5,72","15,47","8,92",11,60,"1,13",75,
American Pale Ale,10,"18,93","1,072","1,02","6,77","44,49","8,12","26,5",60,"1,051",80,"1,5"
American IPA,7,"20,82","1,07","1,019","6,63","153,81","6,59","28,39",60,"1,051",70,"1,5"
American Pale Ale,10,1000,"1,056","1,009","6,09","28,23","7,67",1100,60,"1,051",65,"3,8"
American Pale Ale,10,"20,82","1,049","1,011","4,89","30,9","5,82","28,39",60,"1,036",70,
American IPA,7,"20,82","1,058","1,016","5,45","62,36","10,5","26,5",60,"1,045",65,"1,5"
Saison,134,"41,64","1,069","1,013","7,38","33,14","3,87","49,21",90,"1,058",70,"1,5"
American IPA,7,"39,75","1,061","1,017","5,8","180,42","9,67","43,53",60,,70,
American Pale Ale,10,"20,82","1,057","1,013","5,77","58,24","8,33","28,39",60,"1,042",35,
American IPA,7,"18,93","1,054","1,014","5,28","60,61","10,49","13,25",60,,70,
American Pale Ale,10,"83,28","1,037","1,01","3,51","58,09","5,13","90,85",60,"1,034",78,
American IPA,7,"20,82","1,057","1,016","5,43","58,18","7,09","11,36",60,"1,105",70,
American IPA,7,"20,82","1,084","1,014","9,16","120,76","9,74","28,39",70,"1,062",78,"1,5"
American Amber Ale,4,"20,82","1,054","1,013","5,36","23,94","12,5","28,39",60,"1,04",65,
American Pale Ale,10,"20,82","1,067","1,017","6,55","38,71","5,56","15,14",60,"1,091",35,
American IPA,7,"18,93","1,063","1,015","6,35","87,79",6,"11,36",75,"1,105",35,
American IPA,7,25,"1,067","1,017","6,59","91,65","9,46",35,90,"1,048",70,
American IPA,7,19,"1,067","1,017","6,58","69,19","7,72","28,4",60,"1,045",75,3
American Amber Ale,4,24,"1,049","1,01","5,12","55,28","14,5",26,20,"1,045",75,
American IPA,7,"4,5","1,07","1,02","6,64","62,93","10,37",6,60,,35,
American IPA,7,"18,93","1,063","1,018","5,97","55,68","8,94","22,71",60,"1,053",75,"1,4"
American Pale Ale,10,"20,82","1,045","1,006","5,19","4,56","7,25","24,98",75,"1,038",70,
American Pale Ale,10,"11,36","1,08","1,019","8,01","73,27","7,61","13,25",60,,75,
American Pale Ale,10,"22,71","1,055","1,012","5,59","28,46","7,74","29,34",60,,70,
American IPA,7,"20,82","1,064","1,016","6,31","70,55","7,67","28,39",60,,80,
American IPA,7,21,"1,077","1,018","7,73","213,55","8,17",19,60,"1,039",35,
American IPA,7,475,"1,052","1,01","5,5","68,98","3,17",490,60,"1,05",75,"1,5"
American IPA,7,"18,93","1,048","1,009","5,03","32,69","9,67","26,88",60,"1,034",70,
American Pale Ale,10,"22,71","1,059","1,013","6,04","58,73","6,31","30,28",90,"1,044",68,
American Pale Ale,10,19,"1,056","1,014","5,66","36,89","7,95","23,4",60,"1,045",70,4
American IPA,7,21,"1,055","1,015","5,18","7,82","5,25",6,50,"1,192",35,
American IPA,7,"20,82","1,087","1,027","7,87","103,57","8,14","24,61",90,"1,074",75,"1,5"
American Amber Ale,4,21,"1,054","1,015","5,07","38,09","11,91",11,60,"1,102",35,
American IPA,7,"18,93","1,057","1,011","6,08","59,45","6,78","22,71",60,"1,048",25,
American Amber Ale,4,"37,85","1,059","1,014","5,88","30,52","13,82","48,07",60,,80,
American Pale Ale,10,"18,93","1,043","1,011","4,24",0,0,"18,93",60,,75,
American IPA,7,25,"1,063","1,013","6,59","55,3","6,35",35,60,"1,045",75,"2,7"
American Pale Ale,10,"20,82","1,05","1,016","4,54","24,32","9,13","28,39",60,"1,037",75,"1,5"
American Amber Ale,4,2300,"1,048","1,009","5,06","27,57","12,92",2450,60,"1,045",75,"2,9"
American IPA,7,"20,82","1,066","1,01","7,29","36,26","4,46","12,49",60,"1,046",75,
American IPA,7,"22,71","1,055","1,013","5,5","46,1","7,66","26,5",60,"1,042",58,"1,5"
American Amber Ale,4,25,"1,048","1,013","4,6","42,56","12,69",30,60,"1,04",70,
American IPA,7,20,"1,07","1,015","7,25","88,43","11,22",24,60,"1,059",68,"3,2"
Saison,134,"20,82","1,046","1,012","4,52",0,12,"22,71",60,,75,
American IPA,7,"20,82","1,063","1,016","6,21","78,6","9,19","11,36",60,,70,
American IPA,7,"19,87","1,068","1,02","6,27","72,86","6,76","15,14",60,,35,
American IPA,7,21,"1,056","1,011","5,87","53,82","8,98","28,5",60,"1,041",76,"3,4"
American IPA,7,"41,64","1,053","1,015","5,04","117,85","5,86","43,53",60,"1,051",70,
American Pale Ale,10,"20,82","1,036","1,01","3,4","61,17","9,14","28,39",60,"1,026",70,
American IPA,7,"20,82","1,081","1,02","7,92",0,"7,55","18,93",60,,75,
American Pale Ale,10,"19,87","1,057","1,018","5,11","35,12","11,6","30,28",70,"1,038",70,
American Pale Ale,10,"37,85","1,057","1,016","5,39","32,62","5,69","41,64",60,,80,
American Amber Ale,4,"11,36","1,047","1,012","4,58",0,"15,3","14,2",60,,30,
American IPA,7,"34,07","1,058","1,011","6,1","100,62","4,79","42,59",60,"1,046",78,
American Pale Ale,10,"19,87","1,054","1,011","5,63",0,"6,16","30,28",60,,75,
American Pale Ale,10,"1408,17","11,5015","1,87445","5,12","51,75","4,84","1472,53",90,11,85,"1,5"
American IPA,7,"18,93","1,064","1,016","6,31","64,57","8,24","24,61",60,"1,049",79,
American Light Lager,9,18,"1,033","1,01",3,"16,38","12,94",22,60,"1,027",60,3
American IPA,7,"18,93","1,057","1,016","5,38","90,96","29,83","16,09",60,"1,067",35,
American Amber Ale,4,"20,82","1,057","1,014","5,63","31,27","15,6","28,39",60,"1,042",70,"1,25"
American Amber Ale,4,"18,93","1,076","1,015","8,03","86,32","19,6","22,71",60,"1,064",75,
American Pale Ale,10,25,"1,032","1,008","3,06","17,47","5,9",30,60,"1,026",77,
American IPA,7,"20,82","1,063","1,016","6,19","75,08","11,15","22,71",60,"1,058",35,
American Pale Ale,10,20,"1,051","1,009","5,52","38,58","5,66",23,60,"1,044",70,
American IPA,7,"18,93","1,073","1,018","7,15","105,5","8,08","11,36",60,,70,
American Pale Ale,10,"20,82","1,052","1,009","5,58","32,26","7,81","26,5",60,"1,041",70,"1,25"
American IPA,7,"22,71","1,061","1,015",6,"41,39","6,95","26,5",60,"1,052",75,"1,5"
American Amber Ale,4,"18,93","1,057","1,013","5,72","23,86","4,62","20,82",60,"1,051",35,
American IPA,7,25,"1,065","1,016","6,38","388,65","6,31",30,60,"1,054",75,"0,368"
American IPA,7,"21,8","1,065","1,019","6,13","55,05","5,78",26,60,"1,055",80,
American IPA,7,"20,82","1,07","1,017","6,85","77,66","9,81","28,39",60,,75,
American IPA,7,"18,93","1,077","1,022","7,31","107,19","4,35","18,93",60,"1,077",25,
American Amber Ale,4,26,"1,063","1,015","6,33","52,74","12,71",27,20,,75,
American IPA,7,35,"1,079","1,02","7,73","49,35","13,64",48,60,"1,057","39,5",2
American IPA,7,23,"1,056","1,016","5,34","55,9","4,58",16,60,"1,081",35,
American IPA,7,"20,82","1,065","1,012","7,08","64,09","5,52","24,61",60,"1,054",74,"1,44"
American Amber Ale,4,"18,93","1,095","1,027","9,02","48,41","9,68","26,5",60,"1,068",70,
American IPA,7,25,"1,069","1,012","7,51","87,42","4,77","28,5",60,"1,06",75,3
American IPA,7,"11,85","1,063","1,015","6,32","33,03","8,94","14,2",60,"1,052",89,
American IPA,7,25,"1,065","1,013","6,85","75,16","6,89",29,90,"1,056",74,
American IPA,7,23,"14,7","3,7","5,96","32,08","4,6",28,60,"12,2",75,"3,3"
American Pale Ale,10,16,"1,044","1,008","4,73","32,98","4,73",20,60,"1,035",80,6
American IPA,7,"18,93","1,055","1,018","4,78","40,22","6,92","28,39",60,"1,037",70,"1,5"
American IPA,7,"41,64","1,062","1,015","6,2","171,23","6,76","51,1",90,,75,
American Pale Ale,10,20,"1,054","1,013","5,34","28,9","8,57",27,60,"1,04",70,"3,1"
American IPA,7,"20,82","1,076","1,019","7,47","73,13","8,59","26,5",60,,70,
American Pale Ale,10,"18,93","1,047","1,011","4,7","10,08","3,8","22,71",60,,70,
Saison,134,"20,82","1,067","1,019","6,35","35,84","3,86","28,39",60,"1,049",70,"1,5"
Saison,134,"39,07","1,067","1,016","6,68",0,"9,42","41,64",60,,80,
